Id,Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2014-15_x,2015-16_x,2016-17_x,2017-18_x,2014-15_y,2015-16_y,2016-17_y,2017-18_y,2014-15,2015-16,2016-17,2017-18,2014-15%,2015-16%,2016-17%,2017-18%
0,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,"Programme 5.1: Disability, Mental Health and Carers",Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Disability Service Improvement and Sector Support,3746,3505,3492,3516,53243,67405,53300,30344,49497,63900,49808,26828,13.21329418,18.23109843,14.26345934,7.630261661
1,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Special Account,Water for the Environment Special Account,510,510,510,510,5000,40000,110000,430000,4490,39490,109490,429490,8.803921569,77.43137255,214.6862745,842.1372549
2,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.1:  Veterans' Income Support and Allowances,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Other allowances,6136,6502,6755,7084,23902,3995,4027,4036,17766,-2507,-2728,-3048,2.895371578,-0.38557367,-0.403849001,-0.430265387
3,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.6: Dental services,Departmental expenses,Departmental appropriation,Programme support,1157,948,840,803,4380,4234,3954,3946,3223,3286,3114,3143,2.78565255,3.466244726,3.707142857,3.914072229
4,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme expenses 7.4: Research capacity and quality,Departmental expenses,Departmental appropriation,Programme support,6745,6563,6477,6664,16719,15213,13961,13933,9974,8650,7484,7269,1.478724981,1.317994819,1.155473213,1.090786315
5,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Pensioner Eduction Supplement,40630,0,0,0,82829,0,0,0,42199,0,0,0,1.038616786,0,0,0
6,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Mobile Black Spot Programme,10000,30000,30000,30000,0,40000,30000,30000,-10000,10000,0,0,-1,0.333333333,0,0
7,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Special Account,Services for Other Entities and Trust Monies Special Account,15000,40000,110000,430000,510,510,510,510,-14490,-39490,-109490,-429490,-0.966,-0.98725,-0.995363636,-0.998813953
8,Attorney-General's Portfolio,Australian Financial Security Authority,"Outcome 1: Improved and equitable financial outcomes for consumers, business and the community through application of bankruptcy and personal property securities laws, regulation of personal insolvency practioners, and trustee services.",Programme 1.1: Personal Insolvency and Trustee Services,Administered expenses,Special Account,Confiscated Assets Account,26223,18968,21852,7211,51084,42732,30081,15222,24861,23764,8229,8011,0.948060863,1.2528469,0.376578803,1.110941617
9,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.1: Sustainable Management of Natural Resources and the Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Reef 2050 Plan,11132,10326,9124,9419,1474,86,86,86,-9658,-10240,-9038,-9333,-0.867588933,-0.991671509,-0.99057431,-0.990869519
10,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,"Programme 5.1: Disability, Mental Health and Carers",Administered expenses,Special account,National Disability Special Account,2544,2375,2384,179,475,2374,2367,1200,-2069,-1,-17,1021,-0.813286164,-0.000421053,-0.007130872,5.703910615
